Robot position: x: 350 y: 185 theta: 200

Measurements: 
Angle	Distance	Endpoint
75	881.979591600622	(407, 398)
77	874.2539676775851	(399, 398)
79	867.6404785393545	(391, 398)
81	862.1647174409308	(383, 398)
83	858.3239481687552	(376, 398)
85	546.1135413080324	(362, 321)
87	544.720111616966	(357, 321)
89	548.0583910497129	(352, 322)
91	548.1313711146262	(347, 322)
93	853.13539370958	(339, 398)
95	554.4438655084931	(337, 323)
97	475.7982765836799	(335, 303)
99	478.0794912982568	(331, 303)
101	480.88252203630776	(327, 303)
103	484.198306481962	(323, 303)
105	489.0480548984936	(318, 303)
107	493.47745642531635	(314, 303)
109	499.6798975344115	(309, 303)
111	506.59648636760204	(304, 303)
113	512.6246189952254	(300, 303)
115	526.0722383855662	(294, 304)
117	858.6966868458269	(252, 376)
119	802.2867317860865	(252, 360)
121	757.3427229464875	(252, 347)
123	716.7035649416013	(252, 335)
125	680.2940540677979	(252, 324)
127	111.21151019566275	(333, 207)
129	108.07404868885037	(333, 206)
131	104.9952379872535	(333, 205)
133	110.34491379306978	(331, 205)
135	107.48023074035522	(331, 204)
137	113.27841806805037	(329, 204)
139	121.91800523302537	(327, 205)
141	128.06248474865697	(325, 205)
143	131.20975573485381	(324, 205)
145	137.63720427268203	(322, 205)
147	147.56693396557372	(319, 205)
149	154.3502510525979	(317, 205)
151	164.730082255792	(314, 205)
153	175.31685600648902	(311, 205)
155	189.69449122207	(307, 205)
157	204.31348462595415	(303, 205)
159	222.8542124349459	(298, 205)
161	245.40578640284747	(292, 205)
163	272.02941017470886	(285, 205)
165	306.6202863477888	(276, 205)
167	353.17984087430585	(264, 205)
169	411.8446308985951	(249, 205)
171	510.30970988214597	(224, 205)
173	652.9195968877026	(188, 205)
175	891.2463183654673	(128, 204)
177	1200.0	(50, 200)
179	1200.0	(50, 190)
181	1200.0	(50, 179)
183	1200.0	(50, 169)
185	1200.0	(51, 158)
187	798.2881685206164	(152, 160)
189	628.0127387243033	(195, 160)
191	534.2209280812574	(219, 159)
193	640.399875078064	(194, 149)
195	381.34498816688284	(258, 160)
197	335.2610922848042	(270, 160)
199	301.091348264941	(279, 160)
201	274.83813418083014	(286, 160)
203	252.63412279421004	(292, 160)
205	234.4013651837378	(297, 160)
207	216.48094604375694	(302, 160)
209	205.91260281974002	(305, 160)
211	192.0833152566875	(309, 160)
213	181.94504664870655	(312, 160)
215	172.04650534085255	(315, 160)
217	165.60193235587562	(317, 160)
219	153.67498169838836	(320, 161)
221	147.5127113166862	(322, 161)
223	271.7646040234085	(300, 139)
225	282.842712474619	(300, 135)
227	291.4515397111499	(300, 132)
229	303.2886413962778	(300, 128)
231	318.59692402783804	(300, 123)
233	331.20386471175124	(300, 119)
235	347.3557254458317	(300, 114)
237	363.8900932974131	(300, 109)
239	387.5874094962322	(300, 102)
241	408.3331972788889	(300, 96)
243	436.51345912812354	(300, 88)
245	468.8027303674756	(300, 79)
247	505.2682455884201	(300, 69)
249	553.404011550332	(300, 56)
251	605.9570941906695	(300, 42)
253	765.5063683601855	(294, 2)
255	757.7862495453451	(301, 2)
257	751.9361675035987	(307, 2)
259	746.0294900337385	(314, 2)
261	741.1342658385187	(321, 2)
263	737.7587681620598	(327, 2)
265	735.1516850283348	(333, 2)
267	733.092081528644	(340, 2)
269	280.0285699709942	(349, 115)
271	280.0285699709942	(351, 115)
273	284.45034716097643	(354, 114)
275	285.01228043717697	(356, 114)
277	286.27259736132623	(359, 114)
279	287.3882391469769	(361, 114)
281	289.46847842209	(364, 114)
283	291.1219675668602	(366, 114)
285	293.99319720020736	(369, 114)
287	297.3213749463701	(372, 114)
289	299.7865907608277	(374, 114)
291	303.84206423732707	(377, 114)
293	308.3115307606902	(380, 114)
295	313.1772660970141	(383, 114)
297	318.4211048281819	(386, 114)
299	123.54756169184401	(365, 158)
301	111.13955191559843	(364, 161)
303	118.72657663724664	(366, 160)
305	123.2233744059949	(368, 160)
307	125.60254774486066	(369, 160)
309	128.06248474865697	(370, 160)
311	133.2066064427737	(372, 160)
313	135.88230201170424	(373, 160)
315	141.4213562373095	(375, 160)
317	147.18695594379278	(377, 160)
319	153.15351775261317	(379, 160)
321	159.29846201391902	(381, 160)
323	165.60193235587562	(383, 160)
325	172.04650534085255	(385, 160)
